date,window_start,l1_norm,l2_norm,total_persistence,max_persistence,n_loops,mean_birth,mean_death,rolling_mean_persistence,rolling_var,spectral_power
1932-09-01,1932-07-06,5.89373690181134e-6,8.94491153171078e-5,0.00787346306892994,0.004525763986015,6,0.0254353732313911,0.0267476170762127,0.017793619254116606,1.3962411066591098e-5,1.0469790130456164e-4
1932-09-02,1932-07-07,9.56587856184377e-6,1.15856662729267e-4,0.0101207368139867,0.004525763986015,5,0.0215437655366586,0.0235679128994559,0.01781563512139327,1.3592441738150483e-5,1.0187823220054307e-4
1932-09-03,1932-07-08,2.05355951496079e-5,1.93756849926169e-4,0.017062999151821,0.0066145329640402,7,0.0217512740514311,0.0241888453588341,0.01788970215201557,1.3193183371725025e-5,9.270341314671895e-5
1932-09-06,1932-07-09,2.05355951496079e-5,1.93756849926169e-4,0.017062999151821,0.0066145329640402,7,0.0217512740514311,0.0241888453588341,0.01796871742457347,1.273496051056486e-5,8.392867136042178e-5
1932-09-07,1932-07-11,3.53365365926392e-5,2.9165546443001e-4,0.0226783355794608,0.00859447040402773,7,0.0211506562721174,0.0243904184977547,0.01816003942568416,1.2668937680117488e-5,6.728337204984381e-5
1932-09-08,1932-07-12,3.53365365926392e-5,2.9165546443001e-4,0.0226783355794608,0.00859447040402773,7,0.0211506562721174,0.0243904184977547,0.018351361426794856,1.2528212588223173e-5,5.7159757317519255e-5
1932-09-09,1932-07-13,4.10042875586406e-5,3.17775946784863e-4,0.0246081304783602,0.00859447040402773,6,0.0228384909540724,0.0269398460337991,0.018519382693731448,1.3204490213381826e-5,5.430420525784247e-5
1932-09-10,1932-07-14,2.25501293098192e-5,2.19364899733572e-4,0.0160136600743324,0.0066145329640402,5,0.0232806751227388,0.0264834071376053,0.018435315155604946,1.3266597319894437e-5,5.3750433870151156e-5
1932-09-12,1932-07-15,2.25330428555371e-5,2.19363260657348e-4,0.0156986012687212,0.0066145329640402,4,0.0267124827248822,0.0306371330420625,0.018383354559480806,1.3416298839219948e-5,5.2737950114239014e-5
1932-09-13,1932-07-16,2.25330428555371e-5,2.19363260657348e-4,0.0156986012687212,0.0066145329640402,4,0.0267124827248822,0.0306371330420625,0.018308742048328934,1.3535394759478985e-5,5.031641266198718e-5
1932-09-14,1932-07-18,2.25330428555371e-5,2.19363260657348e-4,0.0157572404620929,0.0066145329640402,5,0.0242330487140806,0.0273844968064992,0.018227436682157837,1.361474460695969e-5,4.683396827052319e-5
1932-09-15,1932-07-19,1.83255411529587e-5,1.87930359263918e-4,0.0150968114033988,0.0066145329640402,6,0.0255732021366008,0.0280893373705006,0.018142261611141706,1.3781385455973613e-5,4.249465112708778e-5
1932-09-16,1932-07-20,2.04077010319887e-5,1.91720570857306e-4,0.0191698985559607,0.0066145329640402,8,0.0246907198094719,0.027086957128967,0.01807130717491865,1.3370577360943476e-5,3.8425526326918584e-5
1932-09-17,1932-07-21,2.05187853146248e-5,1.92066491191537e-4,0.0192529817354678,0.0066145329640402,8,0.0246703412959237,0.0270769640128572,0.018022694324314657,1.3130360208713693e-5,3.536487876602911e-5
1932-09-19,1932-07-22,1.63452701266375e-5,1.67155000500213e-4,0.0178317287482661,0.00656657043986397,9,0.0259856872901496,0.0279669904844014,0.01794565641396663,1.2851529960432109e-5,3.0331669907751303e-5
1932-09-20,1932-07-23,2.65999518600946e-5,2.34936222941275e-4,0.0219006393797202,0.00707971242829765,9,0.0259856872901496,0.0284190916656741,0.017959469921490716,1.2953094155752642e-5,3.126773617324603e-5
1932-09-21,1932-07-25,2.52286647396568e-5,2.32633840561454e-4,0.0195048205663121,0.00707971242829765,7,0.0291446821101162,0.0319310850481608,0.017934538647921387,1.284211955589103e-5,2.9531139456552943e-5
1932-09-22,1932-07-26,2.54261644644992e-5,2.32746422882018e-4,0.0198327588821134,0.00707971242829765,7,0.0291446821101162,0.0319779333789896,0.01791749251362991,1.2760962678888875e-5,2.8391494955700692e-5
1932-09-23,1932-07-27,2.49297752493602e-5,2.32245781375523e-4,0.0184217931350196,0.00707971242829765,6,0.030483473989564,0.0335537728454006,0.017883370725007463,1.266525410969603e-5,2.632069229992229e-5
1932-09-24,1932-07-28,1.90652645106777e-5,1.92151377459754e-4,0.0152591042885654,0.00656657043986397,5,0.0279208481417896,0.0309726689995027,0.017728366003634966,1.224504771126723e-5,1.9325184378789406e-5
1932-09-26,1932-07-29,1.49641272490397e-5,1.67173612755061e-4,0.012802771946515,0.00656657043986397,4,0.028029160752438,0.0312298537390668,0.01761102871883251,1.2708049452856717e-5,1.653898155259272e-5
