date,window_start,l1_norm,l2_norm,total_persistence,max_persistence,n_loops,mean_birth,mean_death
1930-02-03,1929-12-05,5.04346029002679e-7,1.36031138946846e-5,0.0025202686140364,0.00126761913895118,8,0.0065128741162946,0.0068279076930491496
1930-02-04,1929-12-06,4.99888394771178e-7,1.3596716854738e-5,0.00238280848278603,0.00126761913895118,7,0.00690983881889171,0.00725024003071829
1930-02-05,1929-12-07,6.35028983734808e-7,1.47635423846463e-5,0.00309071078322569,0.00126761913895118,7,0.00680870991882891,0.00725024003071829
1930-02-06,1929-12-09,1.63843079829018e-6,3.12173156435176e-5,0.00480622370132809,0.00211336582911146,8,0.00670708287662717,0.00730786083929318
1930-02-07,1929-12-10,1.63843079829018e-6,3.12173156435176e-5,0.00480622370132809,0.00211336582911146,8,0.00670708287662717,0.00730786083929318
1930-02-08,1929-12-11,1.70412716237221e-6,3.13948146647442e-5,0.0053188551709632,0.00211336582911146,9,0.00758958423754296,0.00818056814542776
1930-02-10,1929-12-12,1.92148935174179e-6,3.25224466124193e-5,0.00606463262712605,0.00211336582911146,9,0.00731818610230791,0.00799203417198858
1930-02-11,1929-12-13,2.02802358105877e-6,3.28737448764783e-5,0.00671798290296298,0.00211336582911146,10,0.00733330368827113,0.00800510197856743
1930-02-13,1929-12-14,2.02382232239468e-6,3.28577769646603e-5,0.00670151615944408,0.00211336582911146,10,0.00733495036262302,0.00800510197856743
1930-02-14,1929-12-16,1.95812595831265e-6,3.268822288245e-5,0.00618888468980896,0.00211336582911146,9,0.00652221205570676,0.00720986591012998
1930-02-15,1929-12-17,1.95812595831265e-6,3.268822288245e-5,0.00624078936561221,0.00211336582911146,10,0.00623672448426999,0.00686080342083121
1930-02-17,1929-12-18,7.91459047878272e-7,1.6258162382205e-5,0.00414378113408644,0.00126761913895118,10,0.00639168042098397,0.00680605853439262
1930-02-18,1929-12-19,5.62418061687779e-7,1.38345077857945e-5,0.00318464855947176,0.00126761913895118,9,0.0064321227558552,0.0067859725957965
1930-02-19,1929-12-20,5.61396915216925e-7,1.3834064647906e-5,0.00311883547556191,0.00126761913895118,8,0.00652538438889892,0.00691523882334416
1930-02-20,1929-12-21,5.61396915216925e-7,1.3834064647906e-5,0.00311883547556191,0.00126761913895118,8,0.00652538438889892,0.00691523882334416
1930-02-21,1929-12-23,4.89557551745466e-7,1.33594527056775e-5,0.00258465924704265,0.00126761913895118,7,0.00533596841472182,0.00570520545001363
1930-02-24,1929-12-24,4.89557551745466e-7,1.33594527056775e-5,0.00258465924704265,0.00126761913895118,7,0.00533596841472182,0.00570520545001363
1930-02-25,1929-12-26,5.07925288617247e-7,1.34203945397083e-5,0.00288382732357492,0.00126761913895118,9,0.00549172989545912,0.00581215515363411
1930-02-26,1929-12-27,5.07925288617247e-7,1.34203945397083e-5,0.00288382732357492,0.00126761913895118,9,0.00549172989545912,0.00581215515363411
1930-02-27,1929-12-28,4.89557551745466e-7,1.33594527056775e-5,0.00261224136691717,0.00126761913895118,8,0.00548143234526839,0.00580796251613304
1930-02-28,1929-12-30,1.70617867819862e-6,3.09987121657985e-5,0.00537221693347639,0.00207790838417669,9,0.00504574959375007,0.00564266258635855
1930-03-01,1929-12-31,6.3964584756924e-7,1.47669662732633e-5,0.00315783381215786,0.00126761913895118,6,0.00476243553510797,0.00528874117046762
1930-03-03,1930-01-02,7.645355946466e-7,1.5733441527188e-5,0.00386351321554521,0.00126761913895118,7,0.00482663499351817,0.00537856545288177
1930-03-04,1930-01-03,7.645355946466e-7,1.5733441527188e-5,0.00386351321554521,0.00126761913895118,7,0.00482663499351817,0.00537856545288177
1930-03-05,1930-01-04,4.30478743676656e-7,9.53220914646865e-6,0.00302627895224901,7.46450992304391e-4,7,0.00458749415311998,0.00501981971772698
1930-03-06,1930-01-06,6.70960260411209e-7,1.32511296968314e-5,0.00379639149446038,0.00101057201955485,7,0.00445053896681826,0.00499288060888403
1930-03-07,1930-01-07,7.0081408795307e-7,1.33805155714161e-5,0.00414147377369915,0.00101057201955485,8,0.0043832491694847,0.00490093339119709
1930-03-08,1930-01-08,7.65087047265998e-7,1.41677494353444e-5,0.00434115044546097,0.00101057201955485,9,0.00431260221917482,0.00479495226867049
1930-03-10,1930-01-09,7.54162900761565e-7,1.39849459538631e-5,0.0045455073648291,0.00101057201955485,11,0.0044372107630421,0.00485043870529929
1930-03-11,1930-01-10,7.54162900761565e-7,1.39849459538631e-5,0.0045455073648291,0.00101057201955485,11,0.0044372107630421,0.00485043870529929
1930-03-12,1930-01-11,7.54162900761565e-7,1.39849459538631e-5,0.0045455073648291,0.00101057201955485,11,0.0044372107630421,0.00485043870529929
1930-03-13,1930-01-13,6.96909059017379e-7,1.36549674461466e-5,0.00406685535274506,0.00101057201955485,10,0.00433704592581805,0.00474373146109255
1930-03-14,1930-01-14,6.95393738050013e-7,1.36538332338069e-5,0.00398891863838109,0.00101057201955485,9,0.00425930783664734,0.00470252101868968
1930-03-15,1930-01-15,1.2454187062313e-6,2.06528042352709e-5,0.00595177290575771,0.00140819988282272,11,0.0044776601264904,0.00501873039065019
