date,DJI,DJT,GSPC
1928-04-24,0.0043667143933602175,0.004913664862277658,0.00520834510713826
1928-04-25,5.265551448818856e-4,0.01997393923265346,0.004147232486446168
1928-04-26,0.005821460349384256,0.00825218787908872,0.007216526163868854
1928-04-27,0.009800518754006289,0.0024831023932534698,0.010728072239999078
1928-04-30,-0.0029253583190944235,-0.00421111388251442,0.0035505997230236056
1928-05-01,0.008703684593381798,0.0020732557530042015,0.0015178348474352771
1928-05-02,0.0018719586147866968,0.0021378581295102782,0.0025246163371384616
1928-05-03,0.0034539124184507046,0.003575853074482896,0.00503019169299879
1928-05-04,0.014065189768934259,0.0012348221367345137,0.015434710194561392
1928-05-07,0.008463577296132702,0.0033537555818078306,0.008364132402488638
1928-05-08,0.00263876404253235,0.0019113938510930382,-0.006883016357844833
